size, 4, 12
h1,c,c#,d,d#,e,f,f#,g,g#,a,a#,b
c,  -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
c#,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
d,   0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0
d#,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0
e,   0,  0,  0,  0, -1,  0,  0,  0,  0,  0,  0,  0
f,   0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0
f#,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
g,   0,  0,  0,  0,  0,  0,  0, -1,  0,  0,  0,  0
g#,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0
a,   0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0
a#,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0
b,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1
h1,c,c#,d,d#,e,f,f#,g,g#,a,a#,b
c,  -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
c#,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
d,   0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0
d#,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0
e,   0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0
f,   0,  0,  0,  0,  0, -1,  0,  0,  0,  0,  0,  0
f#,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
g,   0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0
g#,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0
a,   0,  0,  0,  0,  0,  0,  0,  0,  0, -1,  0,  0
a#,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0
b,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1
h1,c,c#,d,d#,e,f,f#,g,g#,a,a#,b
c,   1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
c#,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
d,   0,  0, -1,  0,  0,  0,  0,  0,  0,  0,  0,  0
d#,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0
e,   0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0
f,   0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0
f#,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
g,   0,  0,  0,  0,  0,  0,  0, -1,  0,  0,  0,  0
g#,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0
a,   0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0
a#,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0
b,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -1
h1,c,c#,d,d#,e,f,f#,g,g#,a,a#,b
c,  -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
c#,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
d,   0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0
d#,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0
e,   0,  0,  0,  0, -1,  0,  0,  0,  0,  0,  0,  0
f,   0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0
f#,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
g,   0,  0,  0,  0,  0,  0,  0, -1,  0,  0,  0,  0
g#,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0
a,   0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0
a#,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0
b,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1
